Tweeturl,Username,Tweet,ReplyUsername,Replies
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","sabrina m s
@dreamingrich20
·
Apr 13","BYC is thrilled to announce a new partnership with ASOS as they join @barnsleycollege in becoming a Major Corporate Sponsor. 

https://barnsleyyouthchoir.org.uk/post/asos-and-barnsley-youth-choir-in-harmony-with-new-partnership…"
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","Simo Sarbescu
@Ada_Simona
·
Mar 21","Discount codes for UK area today

Cheers"
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","¯\_(ツ)_/¯
@vyctorya
·
Mar 11","Hi, I have received worn marks and Spencer’s knickers in my order. You refuse to take a complaint. Can you direct me to someone who will or I will need to look at other ways of resolving this"
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","¯\_(ツ)_/¯
@vyctorya
·
Mar 11","Hi, I have received worn marks and Spencer’s knickers in my order. You refuse to take a complaint. Can you direct me to someone who will or I will need to look at other ways of resolving this"
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","¯\_(ツ)_/¯
@vyctorya
·
Mar 11","Hi, I have received worn marks and Spencer’s knickers in my order. You refuse to take a complaint. Can you direct me to someone who will or I will need to look at other ways of resolving this"
https://twitter.com/ASOS_news/status/1674025535209451524,"h
@sincerelysomali
·
Jun 14",how does every girl i see always have the prettiest ASOS dresses but whenever i go on their site it’s sold out  who are y’all in kahoots with?!!,,
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","Simo Sarbescu
@Ada_Simona
·
Mar 21","BYC is thrilled to announce a new partnership with ASOS as they join @barnsleycollege in becoming a Major Corporate Sponsor. 

https://barnsleyyouthchoir.org.uk/post/asos-and-barnsley-youth-choir-in-harmony-with-new-partnership…"
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","sabrina m s
@dreamingrich20
·
Apr 13","Discount codes for UK area today

Cheers"
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","¯\_(ツ)_/¯
@vyctorya
·
Mar 11","I am extremely dissapointed of Asos company. After being a devoted and loyal customer for over 10 years, always respecting their Terms and Conditions, they have blocked my account with no real explanation, after receiving 2 orders with several expensive items...Horrible!"
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","null
@realnull42","Hi, I have received worn marks and Spencer’s knickers in my order. You refuse to take a complaint. Can you direct me to someone who will or I will need to look at other ways of resolving this"
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","null
@realnull42","Hi, I have received worn marks and Spencer’s knickers in my order. You refuse to take a complaint. Can you direct me to someone who will or I will need to look at other ways of resolving this"
https://twitter.com/ASOS_news/status/1631597950483742721,"alison mccafferty
@alisonmccaffe15
·
Mar 15","We're delighted to be sponsoring the inspirational Barnsley Youth Choir and supporting the people of Barnsley, who have been so important to the success of our business. Read more below ","null
@realnull42","Hi, I have received worn marks and Spencer’s knickers in my order. You refuse to take a complaint. Can you direct me to someone who will or I will need to look at other ways of resolving this"
https://twitter.com/ASOS_news/status/1674025535209451524,"h
@sincerelysomali
·
Jun 14",how does every girl i see always have the prettiest ASOS dresses but whenever i go on their site it’s sold out  who are y’all in kahoots with?!!,,
