Tweeturl,Username,Tweet,ReplyUsername,Replies
https://twitter.com/SHEIN_Official/status/1678940360649723908,"Ecci Skywalker
@copkutus
·
Jul 10","@SHEIN_Official
 ı need help but ı wanna talk with Real person not auto text!",,
https://twitter.com/SHEIN_Official/status/1678946717528383490,"Louise Capicotto
@louisecapicotto
·
Jul 10","Obsessed with 
@SHEIN_Official
 right now!  #shein #summer",,
https://twitter.com/SHEIN_Official/status/1679600891060531201,"Hamdbjs
@Hamdbjs1
·
Jul 13","@SHEIN_Official
 i need help check dm from yayebsy. I need a customer representative now",,
https://twitter.com/SHEIN_Official/status/1679601525876817923,"Queen
@macandcheese215
·
Jul 13","I’m really ordering my outfit from 
@SHEIN_Official
 for #dinerenblancphilly  can’t wait to experience this again with Hubbington",,
https://twitter.com/SHEIN_Official/status/1679632587466186752,"Andii Melody Mae
@melody_mae
·
Jul 13","This is peak summer style for me now, BRB wearing midaxi dresses and harnesses for as long as possible now! 

AD | Gifted
Dress; C/O 
@shein_official
  sz2303148186748117 
Harness; Shein
Shoes; 
@ajvoyage
Bag; 
@sunjellies",,
https://twitter.com/SHEIN_Official/status/1678564006536126465,"SHEIN
@SHEIN_Official
·
Jun 30","Prices don't get lower than this! Mind-blowingly low prices you can't afford to miss!
Born to present fashion and elegance
FREE Shipping","monk
@hibberd12_james
·
Jul 8",U get something nice
https://twitter.com/SHEIN_Official/status/1678564006536126465,"SHEIN
@SHEIN_Official
·
Jun 30","Prices don't get lower than this! Mind-blowingly low prices you can't afford to miss!
Born to present fashion and elegance
FREE Shipping","monk
@hibberd12_james
·
Jul 8",U get something nice
https://twitter.com/SHEIN_Official/status/1679600928876290048,"SHEIN
@SHEIN_Official
·
Jul 7","Build your cozy home with SHEIN!
Enlighten your day
FREE Shipping","AhlopFilmzNPixx
@AhlopProduktion
·
Jul 13",Passs the Looooooovveeeee
https://twitter.com/SHEIN_Official/status/1679600928876290048,"SHEIN
@SHEIN_Official
·
Jul 7","Build your cozy home with SHEIN!
Enlighten your day
FREE Shipping","AhlopFilmzNPixx
@AhlopProduktion
·
Jul 14",
https://twitter.com/SHEIN_Official/status/1679600928876290048,"SHEIN
@SHEIN_Official
·
Jul 7","Build your cozy home with SHEIN!
Enlighten your day
FREE Shipping","AhlopFilmzNPixx
@AhlopProduktion
·
Jul 14",
https://twitter.com/SHEIN_Official/status/1679216933286166529,"Lauren Wilde
@Florence_lip_b
·
Jul 11","@SHEIN_Official
 @SheinUk
 nobody is coming back to me and I can’t contact any1 regarding the issue with my order. The customer service is non existent and clearly there is nobody bothered about getting issues resolved. No answer on here, Fb or IG or response via app",,
https://twitter.com/SHEIN_Official/status/1678946717528383490,"Louise Capicotto
@louisecapicotto
·
Jul 10","Obsessed with 
@SHEIN_Official
 right now!  #shein #summer",,
