Tweeturl,Username,Tweet,ReplyUsername,Replies
https://twitter.com/ZARA/status/1680118161226571776,"Gül Pınarhisar
@pinargul87
·
Jul 15","Dün 
@emaarsquaremall
 @ZARA
 da İranlı müşteri sıra beklemeden ödeme yapmak istedi. Türk müşterinin itirazı üzerine, aldıklarımı bırakırım diyerek kucak dolusu ürünü gösterdi. Zara kasiyeri hemen adamı kasaya davet ederek öncelik tanıdı maalesef. Şikayet etsek de nafile",,
https://twitter.com/ZARA/status/1678911005978419206,"ᴳᴬᴮᴿᴵᴱᴸᴬ ᶜᴬᴿᴹᴼᴺᴬ
@GabyCR25
·
Jul 12","@99minutos
 requiero la respuesta de un paquete perdido de 
@ZARA
 que por supuesto se deslinda completamente de lo sucedido. Que pena. Dudoso ya comprar en línea en 
@ZARA",,
https://twitter.com/ZARA/status/1680146500574224384,"S•A•A•R
@SaarOBL
·
Jul 15","Met drie kids even naar 
@ZARA
 Rotterdam geweest. Volgens mij is het motto daar: “Wat je in je tengels hebt gehad en niet meer hoeft, smijt je maar op de grond.” 

#tokkies #trash","S•A•A•R
@SaarOBL
·
Jul 15","Hallo, het spijt ons te horen over uw ervaring. Deel meer details over uw winkelbezoek (datum, tijd, afdeling) via een privébericht via 
@ZARA_Care
, ons klantenondersteuningsaccount. Wij kijken hier graag naar. Bedankt."
https://twitter.com/ZARA/status/1680146500574224384,"S•A•A•R
@SaarOBL
·
Jul 15","Met drie kids even naar 
@ZARA
 Rotterdam geweest. Volgens mij is het motto daar: “Wat je in je tengels hebt gehad en niet meer hoeft, smijt je maar op de grond.” 

#tokkies #trash","S•A•A•R
@SaarOBL
·
Jul 15",Dankjewel. Ik kom even in dm
https://twitter.com/ZARA/status/1680146500574224384,"S•A•A•R
@SaarOBL
·
Jul 15","Met drie kids even naar 
@ZARA
 Rotterdam geweest. Volgens mij is het motto daar: “Wat je in je tengels hebt gehad en niet meer hoeft, smijt je maar op de grond.” 

#tokkies #trash","S•A•A•R
@SaarOBL
·
Jul 15",Dankjewel. Ik kom even in dm
https://twitter.com/ZARA/status/1678911005978419206,"ᴳᴬᴮᴿᴵᴱᴸᴬ ᶜᴬᴿᴹᴼᴺᴬ
@GabyCR25
·
Jul 12","@99minutos
 requiero la respuesta de un paquete perdido de 
@ZARA
 que por supuesto se deslinda completamente de lo sucedido. Que pena. Dudoso ya comprar en línea en 
@ZARA",,
https://twitter.com/ZARA/status/1679745756901650437,"ZARA
@ZARA
·
Jun 18",Denim or printed knit? https://go.zara/knitwear-woman-t…,"Abner
@Abner68991538
·
Jul 14",Cómo puedo reclamar un pedido que llegó incompleto?
https://twitter.com/ZARA/status/1679745756901650437,"ZARA
@ZARA
·
Jun 18",Denim or printed knit? https://go.zara/knitwear-woman-t…,"Abner
@Abner68991538
·
Jul 14",Cómo puedo reclamar un pedido que llegó incompleto?
https://twitter.com/ZARA/status/1679205829260742656,"BICHOTA
@_labichota
·
Jul 12","Le nouveaux transporteur Zara la faut en parler!! L’entreprise Stuart mais c’est une catastrophe!! 2 fois que le livreur me vole mon colis et ojd je me fais enfin livrer mon colis grand ouvert! + impossible de contacter le SAV, j’arrête de commander sur Zara ça suffit 
@ZARA",,
https://twitter.com/ZARA/status/1678940818000805889,"Anita Hernandez
@AnitaHernandez_
·
Jul 12","@ZARA
  de #puertoxancun sigue sin facturar al momento de hacer una compra y de manera perenne su app no permite hacerlo! 
@SATMX
 @Profeco",,
https://twitter.com/ZARA/status/1679298816686665734,"Noemi
@eimidenying
·
Jul 13","@ZARA
 me parece una burla su chat, llevo horas tratando de que alguien me de respuesta y cortan mi conversación, sigo sin recibir 7 articulos y nadie me puede apoyar.",,
https://twitter.com/ZARA/status/1679275274679009282,"Val Grey
@Val_GlezGlez
·
Jul 13","@ZARA
 con quien puedo hablar para que me RESUELVA un pedido no entregado. No me mandes con alguno de los empleados de servicio al cliente, con esas personas ya hablé demasiado. Quiero alguien que realmente SEPA HACER SU TRABAJO.",,
https://twitter.com/ZARA/status/1679378255931949056,"Jaja
@Jam300414
·
Jul 11","@ZARA
 problème de livraison Zara ne veut pas me rembourser.alors que j’ai signaler ma commande dans les 14 jours",,
https://twitter.com/ZARA/status/1679434463145541634,"Jose Maria de Rato
@chemarato
·
Jul 12","No podría arreglarse que el 
@Zara
 hombre de Gijón el la calle Corrida deje de oler a alcantarilla",,
https://twitter.com/ZARA/status/1679463258447642625,"Aguacate
@Katherinecas04
·
Jul 12","Necesito saber que tan confiable es esta página y porqué es tan económico 
@ZARA",,
https://twitter.com/ZARA/status/1679745756901650437,"ZARA
@ZARA
·
Jun 18",Denim or printed knit? https://go.zara/knitwear-woman-t…,"Abner
@Abner68991538
·
Jul 14",Cómo puedo reclamar un pedido que llegó incompleto?
https://twitter.com/ZARA/status/1679745756901650437,"ZARA
@ZARA
·
Jun 18",Denim or printed knit? https://go.zara/knitwear-woman-t…,"Abner
@Abner68991538
·
Jul 14",Cómo puedo reclamar un pedido que llegó incompleto?
https://twitter.com/ZARA/status/1679205829260742656,"BICHOTA
@_labichota
·
Jul 12","Le nouveaux transporteur Zara la faut en parler!! L’entreprise Stuart mais c’est une catastrophe!! 2 fois que le livreur me vole mon colis et ojd je me fais enfin livrer mon colis grand ouvert! + impossible de contacter le SAV, j’arrête de commander sur Zara ça suffit 
@ZARA",,
https://twitter.com/ZARA/status/1678940818000805889,"Anita Hernandez
@AnitaHernandez_
·
Jul 12","@ZARA
  de #puertoxancun sigue sin facturar al momento de hacer una compra y de manera perenne su app no permite hacerlo! 
@SATMX
 @Profeco",,
https://twitter.com/ZARA/status/1679298816686665734,"Noemi
@eimidenying
·
Jul 13","@ZARA
 me parece una burla su chat, llevo horas tratando de que alguien me de respuesta y cortan mi conversación, sigo sin recibir 7 articulos y nadie me puede apoyar.",,
https://twitter.com/ZARA/status/1679275274679009282,"Val Grey
@Val_GlezGlez
·
Jul 13","@ZARA
 con quien puedo hablar para que me RESUELVA un pedido no entregado. No me mandes con alguno de los empleados de servicio al cliente, con esas personas ya hablé demasiado. Quiero alguien que realmente SEPA HACER SU TRABAJO.",,
https://twitter.com/ZARA/status/1679378255931949056,"Jaja
@Jam300414
·
Jul 11","@ZARA
 problème de livraison Zara ne veut pas me rembourser.alors que j’ai signaler ma commande dans les 14 jours",,
https://twitter.com/ZARA/status/1679434463145541634,"Jose Maria de Rato
@chemarato
·
Jul 12","No podría arreglarse que el 
@Zara
 hombre de Gijón el la calle Corrida deje de oler a alcantarilla",,
https://twitter.com/ZARA/status/1679215503301283840,"Mrs H
@mrandmrsharris
·
Jul 12","When there’s a huge queue…30mins it took me to get to the front…why do your sales assistants need to re tag and hang up every item I’m returning? And there are only2 tills out of 4 being used yet lots of employees around doing v little 
@ZARA",,
https://twitter.com/ZARA/status/1679478358961168386,"Lisa Cooper
@lisab6912
·
Jul 13","@ZARA
 remind me never to buy from you again....Thursday morning, Trafford Centre store....around 40 people in the queue!",,
https://twitter.com/ZARA/status/1679126329151705090,"ZARA
@ZARA
·
Jun 18",Metallic thread for passion  https://go.zara/knitwear-woman-t…,,
https://twitter.com/ZARA/status/1679559678848540691,"Gölgem Tuğba Fırat
@golgem_tf
·
Jul 13","@ZARA
 saçmasapan kasa uygulamalarınız yüzünden insanlar 1 saat kasa sırası bekliyor. Siz çıldırdınız mı?",,
https://twitter.com/ZARA/status/1679215503301283840,"Mrs H
@mrandmrsharris
·
Jul 12","When there’s a huge queue…30mins it took me to get to the front…why do your sales assistants need to re tag and hang up every item I’m returning? And there are only2 tills out of 4 being used yet lots of employees around doing v little 
@ZARA",,
https://twitter.com/ZARA/status/1679478358961168386,"Lisa Cooper
@lisab6912
·
Jul 13","@ZARA
 remind me never to buy from you again....Thursday morning, Trafford Centre store....around 40 people in the queue!",,
https://twitter.com/ZARA/status/1679126329151705090,"ZARA
@ZARA
·
Jun 18",Metallic thread for passion  https://go.zara/knitwear-woman-t…,,
https://twitter.com/ZARA/status/1679475864558264320,"٤۷∂
@evvaa_cbt
·
Jul 11","Le service client 
@ZARA
 c’est vraiment des incapables",,
https://twitter.com/ZARA/status/1679508851672981512,"Sandhya Hariharan
@sandhyaskitchen
·
Jul 13","Utterly disappointed with 
@ZARA
 for the very first time! Bought a jeans on 1st june and it has widened by 2 sizes in the very first wash. I took it to the store ... and they have found the bill has a size smaller than bought one. Total error and disaster. #CustomerExperience #woe","Sandhya Hariharan
@sandhyaskitchen
·
Jul 13","What a waste of 29.99£. #disappointed 
@ZARA"
https://twitter.com/ZARA/status/1679508851672981512,"Sandhya Hariharan
@sandhyaskitchen
·
Jul 13","Utterly disappointed with 
@ZARA
 for the very first time! Bought a jeans on 1st june and it has widened by 2 sizes in the very first wash. I took it to the store ... and they have found the bill has a size smaller than bought one. Total error and disaster. #CustomerExperience #woe","Sandhya Hariharan
@sandhyaskitchen
·
Jul 14","Hi, we are sorry to hear this. Please DM us via our ZARA Care account http://bit.ly/1QXQUgQ with further details so that we may assist you further. Thank you."
https://twitter.com/ZARA/status/1679508851672981512,"Sandhya Hariharan
@sandhyaskitchen
·
Jul 13","Utterly disappointed with 
@ZARA
 for the very first time! Bought a jeans on 1st june and it has widened by 2 sizes in the very first wash. I took it to the store ... and they have found the bill has a size smaller than bought one. Total error and disaster. #CustomerExperience #woe","ZARA
@ZARA
·
Jul 14",Your customer service is of no help. They still want me to take it to the store. I have already wasted 2 hours ....
https://twitter.com/ZARA/status/1679508851672981512,"Sandhya Hariharan
@sandhyaskitchen
·
Jul 13","Utterly disappointed with 
@ZARA
 for the very first time! Bought a jeans on 1st june and it has widened by 2 sizes in the very first wash. I took it to the store ... and they have found the bill has a size smaller than bought one. Total error and disaster. #CustomerExperience #woe","Sandhya Hariharan
@sandhyaskitchen
·
Jul 14","Hello Sandhya, we are sorry to hear this. Please be advised that we have responded to your DM. Thank you."
https://twitter.com/ZARA/status/1679508851672981512,"Sandhya Hariharan
@sandhyaskitchen
·
Jul 13","Utterly disappointed with 
@ZARA
 for the very first time! Bought a jeans on 1st june and it has widened by 2 sizes in the very first wash. I took it to the store ... and they have found the bill has a size smaller than bought one. Total error and disaster. #CustomerExperience #woe","Sandhya Hariharan
@sandhyaskitchen
·
Jul 14","Hello Sandhya, we are sorry to hear this. Please be advised that we have responded to your DM. Thank you."
https://twitter.com/ZARA/status/1679559678848540691,"Gölgem Tuğba Fırat
@golgem_tf
·
Jul 13","@ZARA
 saçmasapan kasa uygulamalarınız yüzünden insanlar 1 saat kasa sırası bekliyor. Siz çıldırdınız mı?",,
https://twitter.com/ZARA/status/1679102291377287172,"Andreα
@andrrrrreoo
·
Jul 12","@ZARA
 , ¿cómo lleváis eso de ponerle un precio a un kit de perfume de 15’95€ después subírselo a 17’95€ para que luego en rebajas engañéis a vuestros clientes poniéndole el precio inicial?",,
