,날짜,PM10(ug/m3),PM2.5(ug/m3),o3(ppm  ),no2(ppm  ),Unnamed: 5,co(ppm  ),아황산가스(SO2),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,date,time,Date_Time
2,2022-01-30:24,18,7,0.033,0.013,0.013,0.3,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,24,2022-01-30
3,2022-01-30:23,18,7,0.027,0.02,0.020,0.3,좋음,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,23,2022-01-30
4,2022-01-30:22,20,7,0.03,0.019,0.019,0.3,좋음,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,22,2022-01-30
5,2022-01-30:21,26,8,0.012,0.042,0.042,0.4,좋음,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,21,2022-01-30
6,2022-01-30:20,26,7,0.016,0.033,0.033,0.4,좋음,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,20,2022-01-30
7,2022-01-30:19,32,10,0.024,0.025,0.025,0.4,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,19,2022-01-30
8,2022-01-30:18,33,11,0.031,0.022,0.022,0.4,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,18,2022-01-30
9,2022-01-30:17,31,11,0.035,0.018,0.018,0.4,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,17,2022-01-30
10,2022-01-30:16,26,12,0.04,0.012,0.012,0.4,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,16,2022-01-30
11,2022-01-30:15,20,13,0.037,0.014,0.014,0.4,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,15,2022-01-30
12,2022-01-30:14,27,15,0.036,0.014,0.014,0.4,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,14,2022-01-30
13,2022-01-30:13,31,20,0.034,0.015,0.015,0.4,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,13,2022-01-30
14,2022-01-30:12,34,25,0.03,0.02,0.020,0.5,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,12,2022-01-30
15,2022-01-30:11,33,25,0.02,0.028,0.028,0.6,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,11,2022-01-30
16,2022-01-30:10,38,23,0.016,0.03,0.030,0.6,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,10,2022-01-30
17,2022-01-30:09,37,22,0.007,0.04,0.040,0.7,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,09,2022-01-30
18,2022-01-30:08,38,20,0.006,0.04,0.040,0.6,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,08,2022-01-30
19,2022-01-30:07,37,19,0.008,0.036,0.036,0.6,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,07,2022-01-30
20,2022-01-30:06,38,20,0.007,0.035,0.035,0.6,좋음,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,06,2022-01-30
21,2022-01-30:05,39,20,0.009,0.034,0.034,0.6,좋음,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,05,2022-01-30
22,2022-01-30:04,38,17,0.015,0.027,0.027,0.5,좋음,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,04,2022-01-30
23,2022-01-30:03,36,15,0.014,0.03,0.030,0.5,좋음,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,03,2022-01-30
24,2022-01-30:02,34,14,0.024,0.022,0.022,0.5,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,02,2022-01-30
25,2022-01-30:01,30,15,0.024,0.023,0.023,0.4,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-30,01,2022-01-30
26,2022-01-29:24,35,15,0.017,0.034,0.034,0.4,좋음,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-29,24,2022-01-29
