ID,text,label
ID1008,Dolorem velit porro dolorem consectetur ut ut aliquam dolore neque etincidunt quaerat non tempora velit dolorem consectetur sit quiquia neque dolore porro dolore velit velit modi ut quiquia voluptatem ipsum quisquam quisquam neque quisquam magnam quiquia eius sit modi sed quaerat sed consectetur aliquam amet est dolor sed neque dolorem dolore labore modi numquam ipsum quiquia ipsum quaerat tempora quaerat porro amet ipsum etincidunt sit dolor ut tempora dolore est quaerat non sit dolore adipisci adipisci ut numquam aliquam modi labore dolore aliquam etincidunt sit adipisci neque sed dolore adipisci porro sit eius consectetur adipisci labore numquam porro labore quiquia ut numquam labore dolorem etincidunt sit sed neque est etincidunt dolor etincidunt etincidunt quiquia dolor sed dolorem sed quisquam amet non dolore consectetur quiquia consectetur voluptatem quaerat ipsum numquam adipisci voluptatem tempora adipisci numquam neque amet quiquia labore quaerat modi modi dolore neque aliquam dolore neque numquam ipsum sed sed dolor dolor labore dolorem porro sed numquam non voluptatem dolorem non quaerat velit est quisquam dolorem dolor tempora amet labore amet dolorem magnam amet sit sed dolorem dolorem quiquia aliquam neque numquam quisquam magnam non dolore ipsum sit non quiquia sed consectetur consectetur ut modi ipsum modi labore dolorem tempora quiquia velit non dolore quisquam dolorem aliquam amet sed quiquia est aliquam magnam velit dolore adipisci consectetur porro consectetur labore porro dolore porro magnam sed consectetur sed quiquia dolore quiquia velit non aliquam quaerat dolor modi labore eius adipisci ut amet modi non dolor ipsum modi eius quisquam quiquia est amet magnam quisquam dolorem adipisci sed adipisci dolorem aliquam neque amet sed labore quiquia etincidunt amet adipisci eius etincidunt magnam ipsum consectetur etincidunt velit non modi consectetur adipisci quaerat consectetur adipisci velit neque modi est consectetur etincidunt velit amet adipisci velit quisquam etincidunt eius non dolorem porro consectetur consectetur velit sed dolore numquam numquam sit dolore est numquam est modi voluptatem eius sit velit quisquam quiquia amet neque adipisci est aliquam quisquam dolor modi neque ut aliquam eius consectetur magnam dolorem consectetur eius dolor neque.,3
ID1129,Ut ipsum modi non amet amet adipisci amet ut dolorem adipisci sed amet quisquam quisquam porro sed etincidunt quisquam etincidunt velit non magnam quaerat quaerat est ut sed sed sit ut modi aliquam quisquam ut magnam numquam dolorem dolor porro neque amet est velit quaerat quisquam dolor sit ipsum non etincidunt etincidunt dolorem velit aliquam sit ut dolore quisquam labore quisquam velit quiquia aliquam non ipsum adipisci sit etincidunt quaerat dolore etincidunt ut non non amet dolor magnam etincidunt est dolor labore neque adipisci aliquam adipisci modi sed magnam voluptatem sed ipsum quisquam quaerat dolorem adipisci quisquam aliquam eius ut tempora aliquam voluptatem labore non sed velit quaerat eius porro porro etincidunt dolor tempora velit consectetur dolore dolorem velit adipisci neque labore neque neque adipisci aliquam labore quaerat sed etincidunt magnam est numquam dolor numquam eius tempora modi etincidunt etincidunt quisquam numquam quiquia aliquam tempora quisquam aliquam sed modi quisquam aliquam eius porro quisquam etincidunt aliquam porro labore porro sed adipisci quaerat etincidunt quaerat sit amet amet neque ut dolore ut quaerat eius quaerat quiquia ipsum amet porro tempora amet porro non tempora velit adipisci consectetur sed neque sit dolorem tempora quiquia porro porro amet labore neque dolore dolorem est eius quaerat quiquia voluptatem quiquia eius modi dolore etincidunt sit labore consectetur magnam consectetur non sit eius.,1
ID632,Dolorem eius ut labore dolore amet tempora velit non ut consectetur labore tempora velit adipisci porro velit eius voluptatem quiquia ipsum porro amet amet velit sit non sed ut magnam ut etincidunt modi magnam magnam amet amet magnam consectetur neque voluptatem numquam amet sed quiquia adipisci adipisci quiquia modi magnam numquam dolor quiquia dolore ipsum dolorem est tempora quiquia aliquam ut dolor dolorem voluptatem labore ipsum dolore ipsum adipisci modi porro quisquam consectetur dolor magnam quaerat non aliquam velit est non labore eius quaerat ut velit ipsum non eius adipisci ipsum modi dolorem dolorem ut porro quiquia magnam magnam modi dolore ipsum neque etincidunt non adipisci magnam velit quisquam labore modi ipsum consectetur aliquam numquam est voluptatem etincidunt aliquam porro tempora magnam velit adipisci adipisci magnam velit sit magnam quisquam non voluptatem tempora adipisci tempora ut quiquia tempora sed dolor non etincidunt quiquia neque dolore dolore tempora quisquam sit numquam non quiquia voluptatem quiquia eius dolore porro dolorem aliquam velit modi quaerat voluptatem velit consectetur quiquia ut porro ut modi quaerat sit magnam etincidunt amet sed quiquia ipsum porro est ut numquam numquam porro ipsum sed quaerat est ut adipisci ipsum eius aliquam neque ipsum labore consectetur ut voluptatem tempora aliquam est eius quaerat aliquam adipisci tempora neque ut non labore dolore labore labore ipsum amet quaerat ipsum dolorem voluptatem modi ipsum dolore sit non quisquam tempora non neque aliquam etincidunt velit amet voluptatem porro dolorem est dolorem ut modi dolore dolor sit eius quaerat tempora quisquam non numquam dolorem est voluptatem dolor ipsum dolore labore dolor adipisci magnam neque dolor voluptatem labore tempora modi neque non aliquam non velit sed tempora numquam modi etincidunt numquam neque labore amet numquam voluptatem porro porro ipsum eius neque dolore est numquam numquam est dolore dolor est numquam neque porro velit labore est ipsum non sed velit modi est non voluptatem aliquam ut quiquia sit quisquam tempora adipisci porro etincidunt dolorem modi adipisci etincidunt porro dolor neque dolor consectetur porro dolorem etincidunt modi quisquam numquam ut modi tempora etincidunt consectetur sed velit numquam labore etincidunt non sit quaerat voluptatem dolore porro quisquam etincidunt dolor modi numquam tempora dolorem quaerat quiquia adipisci dolorem modi ipsum neque aliquam voluptatem tempora non modi neque quiquia etincidunt sed porro sed est labore ipsum.,3
ID53,Dolorem quiquia aliquam dolor ut quisquam numquam est neque quisquam numquam non eius ipsum etincidunt numquam aliquam ipsum dolor tempora voluptatem amet quisquam modi ipsum quisquam aliquam dolore dolor non sed magnam magnam sed sit eius ipsum ipsum magnam dolor aliquam etincidunt sed neque adipisci modi tempora consectetur quaerat neque porro tempora est ut quisquam sit velit sed labore eius velit porro labore ut ipsum eius non ipsum dolor magnam dolor amet tempora voluptatem sit dolore voluptatem amet eius dolor neque neque quaerat ipsum non etincidunt velit tempora porro eius dolorem quisquam quaerat neque dolor porro velit sit numquam velit voluptatem tempora quisquam sed eius eius quaerat est non aliquam quisquam ipsum consectetur velit non consectetur aliquam velit labore aliquam sed sed porro sit adipisci non aliquam neque quiquia sit amet est sit est numquam neque aliquam velit dolor numquam numquam etincidunt numquam quaerat labore dolorem non consectetur sed tempora non ipsum aliquam labore dolorem non quiquia voluptatem amet consectetur tempora sit modi amet velit dolorem dolore neque quiquia consectetur aliquam modi velit tempora velit consectetur adipisci aliquam quaerat dolorem ipsum dolor non aliquam sit quaerat porro consectetur voluptatem etincidunt eius tempora eius quisquam quisquam numquam voluptatem sit amet numquam dolor amet sit tempora velit quaerat amet velit sed voluptatem numquam non eius numquam sed numquam aliquam etincidunt amet labore porro aliquam quisquam dolorem dolor magnam modi sed.,3
ID1271,Velit est voluptatem voluptatem quiquia neque modi dolore tempora est sit aliquam dolor dolor tempora labore neque amet est ipsum quaerat adipisci quisquam neque non quaerat voluptatem velit voluptatem dolorem velit consectetur etincidunt ipsum etincidunt voluptatem numquam consectetur dolorem amet aliquam neque ipsum etincidunt adipisci numquam eius dolor porro sed etincidunt ipsum labore quaerat quisquam ut quisquam quisquam est adipisci velit quisquam adipisci etincidunt sed dolore est aliquam neque sed consectetur porro dolore modi eius porro sit eius velit velit quisquam neque tempora ipsum voluptatem eius velit neque ut porro adipisci numquam porro dolore magnam porro dolor dolorem sit dolore est quaerat ut ut magnam quiquia modi ut dolorem dolor sit magnam dolor dolore quisquam aliquam.,3
ID574,Numquam quaerat aliquam voluptatem labore labore dolor etincidunt porro adipisci magnam dolorem consectetur aliquam consectetur quaerat porro adipisci eius eius voluptatem aliquam etincidunt eius labore magnam dolorem labore eius sed est dolore quiquia ipsum numquam dolore sit consectetur aliquam eius quisquam quisquam numquam dolore quaerat amet magnam non dolorem consectetur quisquam amet dolor aliquam dolor numquam tempora eius tempora magnam velit labore etincidunt consectetur labore modi quiquia quiquia amet consectetur aliquam ipsum quaerat etincidunt quaerat amet modi porro velit ut magnam tempora est adipisci neque amet eius adipisci magnam dolorem modi quisquam voluptatem adipisci quaerat amet velit neque velit non magnam eius modi numquam quiquia aliquam ut sed tempora non velit labore sed dolorem eius sit non amet dolor numquam quaerat est quisquam dolorem numquam ut aliquam velit porro aliquam consectetur sit consectetur voluptatem sed dolor numquam etincidunt quisquam quisquam quiquia aliquam ipsum neque numquam ipsum.,0
ID1093,Quaerat adipisci dolor numquam amet voluptatem voluptatem est sit tempora tempora amet sed modi numquam labore adipisci dolore sed amet dolore voluptatem est numquam ipsum ipsum neque consectetur magnam quaerat tempora voluptatem tempora neque non numquam non labore quisquam dolorem sit voluptatem dolorem eius dolore aliquam modi labore voluptatem dolore numquam sed sit labore tempora porro quiquia porro quisquam voluptatem labore tempora sed aliquam amet ut amet adipisci voluptatem dolorem tempora neque quiquia etincidunt amet dolore voluptatem consectetur dolor neque numquam etincidunt amet neque sit magnam quisquam adipisci eius sit porro eius ut consectetur etincidunt eius etincidunt quisquam magnam ipsum quisquam magnam amet etincidunt porro labore non labore est magnam voluptatem magnam consectetur quiquia eius dolor ipsum modi amet quiquia tempora sit dolore aliquam est eius neque dolor labore adipisci aliquam quisquam amet ut tempora magnam dolorem sit consectetur dolore dolor sed amet magnam sit tempora neque labore eius eius numquam magnam neque sit sit porro dolore voluptatem ut quaerat est dolorem dolor quisquam velit ut ipsum dolore etincidunt consectetur quiquia non voluptatem dolore modi labore amet numquam dolore porro quiquia amet eius consectetur consectetur modi magnam consectetur dolore ut aliquam voluptatem dolore dolorem tempora non porro neque quaerat tempora voluptatem non amet numquam amet sed non porro quiquia voluptatem neque modi dolor modi.,3
ID938,Quisquam porro tempora voluptatem non neque dolor ut etincidunt porro non amet consectetur velit porro quiquia quaerat dolore porro magnam eius tempora eius dolore velit modi neque neque dolorem dolorem ut amet ipsum quiquia amet quaerat sed modi consectetur dolore quisquam porro dolore adipisci tempora magnam consectetur velit numquam numquam etincidunt dolor neque sit voluptatem ut non aliquam ipsum adipisci magnam quaerat sed sed voluptatem magnam voluptatem ut magnam dolore dolore magnam sit quaerat adipisci sit velit ipsum sed dolorem ipsum velit magnam magnam sit labore consectetur aliquam magnam modi non neque ut est tempora eius voluptatem velit ut etincidunt quaerat magnam dolorem eius numquam neque labore neque quisquam aliquam numquam velit aliquam magnam labore dolore quaerat magnam ut non sit est eius velit non magnam quisquam amet neque dolore dolorem dolorem ut amet modi est consectetur dolore dolor dolore voluptatem voluptatem consectetur ipsum ipsum quisquam etincidunt etincidunt quisquam sed voluptatem modi labore quisquam dolor ipsum adipisci dolorem velit consectetur magnam eius etincidunt dolorem neque numquam neque voluptatem numquam non numquam ipsum amet tempora numquam quisquam ipsum modi ipsum neque quiquia adipisci etincidunt eius dolore non labore dolor est quaerat non neque porro modi aliquam dolorem voluptatem amet non labore quiquia adipisci non quaerat dolorem est dolor dolorem modi dolore dolore aliquam dolore dolorem sit aliquam consectetur dolorem ipsum.,1
ID2458,Neque ut eius dolorem eius quiquia quiquia adipisci aliquam consectetur non voluptatem sed sed aliquam dolor sed neque est eius modi ipsum magnam quaerat ipsum numquam adipisci dolore sed labore dolor amet aliquam dolorem tempora quisquam eius etincidunt dolore sit magnam est amet quaerat etincidunt amet quisquam sed tempora voluptatem tempora dolor etincidunt consectetur numquam ipsum porro tempora eius dolor sed numquam sit porro non ut etincidunt amet magnam quisquam adipisci numquam ut dolorem sed etincidunt sed velit quisquam adipisci adipisci quisquam tempora sed tempora quaerat magnam consectetur consectetur eius eius non sed velit sed sit consectetur dolore consectetur sit sit dolor dolore magnam ut adipisci adipisci aliquam neque modi etincidunt tempora sit labore dolorem consectetur labore neque ipsum amet porro consectetur dolor quiquia aliquam sit quiquia est sit labore eius ipsum etincidunt neque quisquam ipsum sed non eius adipisci sed voluptatem aliquam tempora voluptatem sit dolor tempora dolorem magnam tempora labore consectetur non ut eius dolor voluptatem ut dolor etincidunt labore etincidunt est velit velit quisquam voluptatem ipsum modi amet neque ut quiquia amet velit neque neque etincidunt quiquia etincidunt labore non dolorem neque sed amet magnam eius adipisci quaerat sit dolor numquam ipsum sed sed.,2
ID831,Non dolor amet adipisci voluptatem consectetur adipisci tempora porro est etincidunt ipsum sed dolore ut porro sit numquam labore tempora quiquia quisquam aliquam consectetur dolorem ut modi etincidunt est amet dolor velit neque neque velit velit eius velit aliquam consectetur eius sit tempora porro aliquam magnam modi dolorem amet dolore quiquia magnam eius velit quiquia dolore neque quaerat etincidunt dolorem adipisci quisquam velit ipsum ipsum ut ut tempora quiquia numquam ut magnam magnam tempora etincidunt labore modi aliquam labore aliquam eius adipisci tempora amet modi aliquam dolor magnam etincidunt non sed dolore dolor aliquam est ut quaerat ut amet numquam quaerat porro etincidunt magnam porro dolore ut neque modi quisquam numquam amet eius modi amet dolore dolor neque tempora neque dolorem sit est dolor dolor velit ipsum quisquam amet est consectetur non adipisci quisquam dolorem dolor eius eius est quaerat sit adipisci numquam dolorem tempora consectetur neque porro etincidunt eius non ut eius labore adipisci ipsum ut non labore etincidunt dolor numquam quiquia quaerat quaerat neque consectetur voluptatem velit porro non magnam ut sit amet porro quiquia est eius voluptatem ipsum modi sed sed non porro quisquam quiquia sit ut etincidunt sed voluptatem amet neque sit quaerat dolor voluptatem non porro labore numquam est consectetur voluptatem magnam labore voluptatem dolore dolore eius labore magnam numquam tempora numquam labore ipsum amet ut aliquam dolore modi adipisci sed est amet non dolorem dolor quisquam ut adipisci adipisci voluptatem sit numquam velit ipsum sit quisquam sit amet quiquia tempora voluptatem quisquam voluptatem quisquam sed non quisquam aliquam quaerat est non sit est amet non aliquam etincidunt voluptatem consectetur ipsum modi dolore magnam dolore magnam ipsum sed non quisquam magnam dolorem consectetur tempora quisquam porro eius voluptatem voluptatem ut ipsum sit eius ut neque etincidunt amet amet eius dolorem tempora quisquam voluptatem ipsum numquam voluptatem quisquam quisquam ipsum aliquam quiquia aliquam magnam neque voluptatem dolorem dolore quaerat non voluptatem labore ipsum consectetur non tempora eius labore velit numquam dolorem quiquia non consectetur non non labore est consectetur ipsum eius numquam non labore amet adipisci modi aliquam ut quisquam dolorem voluptatem ipsum est sit porro sit neque neque aliquam sit porro non neque aliquam quaerat modi ut est porro labore quisquam numquam adipisci aliquam magnam sit numquam velit eius dolore est quisquam est amet dolorem non porro quiquia adipisci quiquia ipsum quisquam est voluptatem consectetur etincidunt ut est dolore dolorem adipisci etincidunt adipisci dolor sed velit consectetur sit eius quiquia eius porro non adipisci modi consectetur porro porro numquam velit porro sed ipsum non quiquia adipisci neque velit dolore.,0
