,text,label,Emotions,Emotions_Label,cluster
0,this was predicted in the spring,,"[{'label': 'neutral', 'score': 0.9359592795372009}]",neutral,0
1,insist on vaccinations or make them stay home everyone must be vaccinated for everyone to be safe,vaccination,"[{'label': 'caring', 'score': 0.5682135224342346}]",caring,0
2,if employers can make a drug test mandatory as part of their hiring process then they can make a covid vaccine mandatory also,vaccination,"[{'label': 'neutral', 'score': 0.9972274899482727}]",neutral,0
3,dozens to hundreds of people crowding together and sitting still without masks and breathing on each other contribute to the spreading of covid i am shocked shocked,masking and distancing,"[{'label': 'surprise', 'score': 0.995550274848938}]",surprise,0
4,if people were bleeding out their eyes and ears or coughing and vomiting blood like with ebola theyd get the vaccine instead they think they can handle covid not caring about spreading to others who cant this selfishness is a failure of our nation we call ourselves a christian nation but it seems these same christians only think about themselves the opposite of their leaders teachings,vaccination,"[{'label': 'neutral', 'score': 0.9403601884841919}]",neutral,0
5,require them period all the good and decent people in a work environment should not be put in harms way because the republicans are too brainwashed to do what everyone knows needs to happen without being forced,vaccination,"[{'label': 'approval', 'score': 0.9923804998397827}]",approval,0
6,would companies be liable for litigation if a vaccinated worker gets the virus from an unvaccinated one,vaccination,"[{'label': 'curiosity', 'score': 0.9954105019569397}]",curiosity,0
7,dont tread on me one of the trump insurrectionists favorite rallying cries will be replaced by the libertyloving warning dont vaccinate me,vaccination,"[{'label': 'neutral', 'score': 0.9120509624481201}]",neutral,0
8,bars and restaurants is unwise lumping of two very different environments and behavioral sets associated with each,,"[{'label': 'neutral', 'score': 0.9804830551147461}]",neutral,0
9,i am vaccinated but it is no biggie to me to continue to wear the mask in public it is not about me but about us,vaccination,"[{'label': 'approval', 'score': 0.9129553437232971}]",approval,0
