title,overview,rating,genre,Tokenized_Overview
puss in boots: the last wish,puss in boots discovers that his passion for adventure has taken its toll  he has burned through eight of his nine lives  leaving him with only one life left  puss sets out on an epic journey to find the mythical last wish and restore his nine lives ,86.0,  animation    action    adventure    comedy    family    fantasy  ,"['puss', 'boot', 'discov', 'passion', 'adventur', 'taken', 'toll', 'burn', 'eight', 'nine', 'live', 'leav', 'one', 'life', 'left', 'puss', 'set', 'epic', 'journey', 'find', 'mythic', 'last', 'wish', 'restor', 'nine', 'live']"
m3gan,a brilliant toy company roboticist uses artificial intelligence to develop m gan  a life like doll programmed to emotionally bond with her newly orphaned niece  but when the doll s programming works too well  she becomes overprotective of her new friend with terrifying results ,74.0,  science fiction    horror    comedy  ,"['brilliant', 'toy', 'compani', 'roboticist', 'use', 'artifici', 'intellig', 'develop', 'gan', 'life', 'like', 'doll', 'program', 'emot', 'bond', 'newli', 'orphan', 'niec', 'doll', 'program', 'work', 'well', 'becom', 'overprotect', 'new', 'friend', 'terrifi', 'result']"
avatar: the way of water,set more than a decade after the events of the first film  learn the story of the sully family  jake  neytiri  and their kids   the trouble that follows them  the lengths they go to keep each other safe  the battles they fight to stay alive  and the tragedies they endure ,77.0,  science fiction    adventure    action  ,"['set', 'decad', 'event', 'first', 'film', 'learn', 'stori', 'sulli', 'famili', 'jake', 'neytiri', 'kid', 'troubl', 'follow', 'length', 'go', 'keep', 'safe', 'battl', 'fight', 'stay', 'aliv', 'tragedi', 'endur']"
the enforcer,a noir thriller set in miami  the film follows an enforcer who discovers his femme fatale boss has branched out into cyber sex trafficking  putting a young runaway he s befriended at risk  he sacrifices everything to save the young girl from the deadly organization he s spent his life building ,70.0,  action    thriller    drama  ,"['noir', 'thriller', 'set', 'miami', 'film', 'follow', 'enforc', 'discov', 'femm', 'fatal', 'boss', 'branch', 'cyber', 'sex', 'traffick', 'put', 'young', 'runaway', 'befriend', 'risk', 'sacrific', 'everyth', 'save', 'young', 'girl', 'deadli', 'organ', 'spent', 'life', 'build']"
violent night,when a team of mercenaries breaks into a wealthy family compound on christmas eve  taking everyone inside hostage  the team isn t prepared for a surprise combatant  santa claus is on the grounds  and he s about to show why this nick is no saint ,77.0,  action    comedy    crime    thriller  ,"['team', 'mercenari', 'break', 'wealthi', 'famili', 'compound', 'christma', 'eve', 'take', 'everyon', 'insid', 'hostag', 'team', 'prepar', 'surpris', 'combat', 'santa', 'clau', 'ground', 'show', 'nick', 'saint']"
troll,deep inside the mountain of dovre  something gigantic awakens after being trapped for a thousand years  destroying everything in its path  the creature is fast approaching the capital of norway  but how do you stop something you thought only existed in norwegian folklore ,67.0,  fantasy    action    adventure    thriller  ,"['deep', 'insid', 'mountain', 'dovr', 'someth', 'gigant', 'awaken', 'trap', 'thousand', 'year', 'destroy', 'everyth', 'path', 'creatur', 'fast', 'approach', 'capit', 'norway', 'stop', 'someth', 'thought', 'exist', 'norwegian', 'folklor']"
black adam,nearly       years after he was bestowed with the almighty powers of the egyptian gods and imprisoned just as quickly black adam is freed from his earthly tomb  ready to unleash his unique form of justice on the modern world ,72.0,  fantasy    action    science fiction  ,"['nearli', 'year', 'bestow', 'almighti', 'power', 'egyptian', 'god', 'imprison', 'quickli', 'black', 'adam', 'freed', 'earthli', 'tomb', 'readi', 'unleash', 'uniqu', 'form', 'justic', 'modern', 'world']"
avatar,in the   nd century  a paraplegic marine is dispatched to the moon pandora on a unique mission  but becomes torn between following orders and protecting an alien civilization ,76.0,  action    adventure    fantasy    science fiction  ,"['nd', 'centuri', 'parapleg', 'marin', 'dispatch', 'moon', 'pandora', 'uniqu', 'mission', 'becom', 'torn', 'follow', 'order', 'protect', 'alien', 'civil']"
black panther: wakanda forever,queen ramonda  shuri  m baku  okoye and the dora milaje fight to protect their nation from intervening world powers in the wake of king t challa s death  as the wakandans strive to embrace their next chapter  the heroes must band together with the help of war dog nakia and everett ross and forge a new path for the kingdom of wakanda ,75.0,  action    adventure    science fiction  ,"['queen', 'ramonda', 'shuri', 'baku', 'okoy', 'dora', 'milaj', 'fight', 'protect', 'nation', 'interven', 'world', 'power', 'wake', 'king', 'challa', 'death', 'wakandan', 'strive', 'embrac', 'next', 'chapter', 'hero', 'must', 'band', 'togeth', 'help', 'war', 'dog', 'nakia', 'everett', 'ross', 'forg', 'new', 'path', 'kingdom', 'wakanda']"
savage salvation,newly engaged shelby john and ruby red want a fresh start after their struggles with addiction  but when shelby discovers his beloved ruby dead on their porch  he embarks on a vengeful killing spree of the dealers who supplied her  armed with nothing but adrenaline and a nail gun  shelby begins to unleash chaos on the town s criminal underbelly  as he hunt s down crime lord coyote  sheriff church must race against the clock to put an end to shelby s vigilante justice before the entire town descends into a bloodbath ,64.0,  action    mystery    thriller    crime    drama  ,"['newli', 'engag', 'shelbi', 'john', 'rubi', 'red', 'want', 'fresh', 'start', 'struggl', 'addict', 'shelbi', 'discov', 'belov', 'rubi', 'dead', 'porch', 'embark', 'veng', 'kill', 'spree', 'dealer', 'suppli', 'arm', 'noth', 'adrenalin', 'nail', 'gun', 'shelbi', 'begin', 'unleash', 'chao', 'town', 'crimin', 'underbelli', 'hunt', 'crime', 'lord', 'coyot', 'sheriff', 'church', 'must', 'race', 'clock', 'put', 'end', 'shelbi', 'vigilant', 'justic', 'entir', 'town', 'descend', 'bloodbath']"
glass onion: a knives out mystery,world famous detective benoit blanc heads to greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends ,71.0,  comedy    crime    mystery  ,"['world', 'famou', 'detect', 'benoit', 'blanc', 'head', 'greec', 'peel', 'back', 'layer', 'mysteri', 'surround', 'tech', 'billionair', 'eclect', 'crew', 'friend']"
"the chronicles of narnia: the lion, the witch and the wardrobe",siblings lucy  edmund  susan and peter step through a magical wardrobe and find the land of narnia  there  they discover a charming  once peaceful kingdom that has been plunged into eternal winter by the evil white witch  jadis  aided by the wise and magnificent lion  aslan  the children lead narnia into a spectacular  climactic battle to be free of the witch s glacial powers forever ,71.0,  adventure    family    fantasy  ,"['sibl', 'luci', 'edmund', 'susan', 'peter', 'step', 'magic', 'wardrob', 'find', 'land', 'narnia', 'discov', 'charm', 'peac', 'kingdom', 'plung', 'etern', 'winter', 'evil', 'white', 'witch', 'jadi', 'aid', 'wise', 'magnific', 'lion', 'aslan', 'children', 'lead', 'narnia', 'spectacular', 'climact', 'battl', 'free', 'witch', 'glacial', 'power', 'forev']"
the big 4,a by the book female detective teams up with four down on their luck assassins to investigate her father s murder ,70.0,  action    comedy    crime  ,"['book', 'femal', 'detect', 'team', 'four', 'luck', 'assassin', 'investig', 'father', 'murder']"
the woman king,the story of the agojie  the all female unit of warriors who protected the african kingdom of dahomey in the     s with skills and a fierceness unlike anything the world has ever seen  and general nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life ,79.0,  action    drama    history  ,"['stori', 'agoji', 'femal', 'unit', 'warrior', 'protect', 'african', 'kingdom', 'dahomey', 'skill', 'fierc', 'unlik', 'anyth', 'world', 'ever', 'seen', 'gener', 'nanisca', 'train', 'next', 'gener', 'recruit', 'readi', 'battl', 'enemi', 'determin', 'destroy', 'way', 'life']"
roald dahl's matilda the musical,an extraordinary young girl discovers her superpower and summons the remarkable courage  against all odds  to help others change their stories  whilst also taking charge of her own destiny  standing up for what s right  she s met with miraculous results ,69.0,  family    comedy    fantasy  ,"['extraordinari', 'young', 'girl', 'discov', 'superpow', 'summon', 'remark', 'courag', 'odd', 'help', 'other', 'chang', 'stori', 'whilst', 'also', 'take', 'charg', 'destini', 'stand', 'right', 'met', 'miracul', 'result']"
exploits of a young don juan,roger is a    year old who seeks to lose his virginity in this erotic drama  his initial efforts are unsuccessful  but world war i breaks out and men are seen marching off to battle  roger goes overboard when he is presented with several amorous opportunities ,57.0,  comedy    drama  ,"['roger', 'year', 'old', 'seek', 'lose', 'virgin', 'erot', 'drama', 'initi', 'effort', 'unsuccess', 'world', 'war', 'break', 'men', 'seen', 'march', 'battl', 'roger', 'goe', 'overboard', 'present', 'sever', 'amor', 'opportun']"
my name is vendetta,after old enemies kill his family  a former mafia enforcer and his feisty daughter flee to milan  where they hide out while plotting their revenge ,68.0,  action    crime    thriller  ,"['old', 'enemi', 'kill', 'famili', 'former', 'mafia', 'enforc', 'feisti', 'daughter', 'flee', 'milan', 'hide', 'plot', 'reveng']"
high heat,when the local mafia shows up to burn down her restaurant  ana  a chef with a meticulous past  defends her turf and proves her knife skills both in and out of the kitchen ,57.0,  action    comedy    crime  ,"['local', 'mafia', 'show', 'burn', 'restaur', 'ana', 'chef', 'meticul', 'past', 'defend', 'turf', 'prove', 'knife', 'skill', 'kitchen']"
detective knight: rogue,as los angeles prepares for halloween  mask wearing armed robbers critically wound detective james knight s partner in a shootout following a heist  with knight in hot pursuit  the bandits flee l a  for new york  where the detective s dark past collides with his present case and threatens to tear his world apart unless redemption can claim knight first ,61.0,  action    crime  ,"['lo', 'angel', 'prepar', 'halloween', 'mask', 'wear', 'arm', 'robber', 'critic', 'wound', 'detect', 'jame', 'knight', 'partner', 'shootout', 'follow', 'heist', 'knight', 'hot', 'pursuit', 'bandit', 'flee', 'l', 'new', 'york', 'detect', 'dark', 'past', 'collid', 'present', 'case', 'threaten', 'tear', 'world', 'apart', 'unless', 'redempt', 'claim', 'knight', 'first']"
