,ID,AppName,Date,Rating,Review,Aspect label,sentiment label
0,6,CapCut - Video Editor,2021-02-06 10:38:31,4,"-
After you exit the app and then open it again, your projects are usually VERY LAGGY so it’s best to do everything in one go.

Whenever you create a project, it says you don’t have enough storage. I have a lot of storage and I’m still getting this error (even on a new phone). 

The only ways I can fix these issues is doing my projects in one go - which is quite hard if your doing a video/edit and you need more images. 

But besides those issues it’s a great app, no watermark.
-",Feature Request,Negtive
1,8,CapCut - Video Editor,2022-01-22 08:56:35,4,"- actual motion blur not just a an effect.
-more custom 3D effects you can make one your own
- smooth slowmo 
-more effective effects for glitch style anime/kpop edits 
-actually smooth velocity station

That’s about it I haven’t used this app in months",Feature Request,Positive
2,61,CapCut - Video Editor,2021-04-15 01:11:20,5,:v it gud lol,Information Giving,Positive
3,155,CapCut - Video Editor,2021-12-06 03:24:56,5,"。。。。。。。。。。。。。。。。。。。。。
Im Going To Try To Make This Review Easy To Read!:)

Ok so i think this is an AWESOME app its such a fun app, its so fun that i just try making random videos just so i can use the app!I 100% recommend this app its very entertaining to use and for people who dont wanna pay for “PREMIUM TO USE MUSIC” or “BUY PREMIUM SO YOU CAN HAVE A BETTER EXPERIENCE” this app is all free! And if people out there aren't trying to waste their money on some app then get CapCut! I absolutely L•O•V•E this app!

••••••••

You can use this app for so many different things but heres the part for my recommendations! 

RECOMMENDATIONS SECTION~~~

So I recommend that team CapCut to add more music options kinda like Spotify and I know thats a lot to ask for so maybe just like some more popular music! And maybe some old 90s music to! 

ENDING•

Thank you so much for reading my Review i hope this helped you decide whether you want to get this app or not! Thank you guys and thank you CapCut for creating such an amazing app-",Information Giving,Positive
4,156,CapCut - Video Editor,2021-08-07 06:00:46,5,꧁ 𝑏𝑒𝑠𝑡 𝑡𝑤𝑒𝑒𝑛𝑖𝑛𝑔 𝑎𝑝𝑝 ( ˘ ³˘)♥︎ ꧂,Information Giving,Positive
5,235,CapCut - Video Editor,2021-08-22 13:00:34,4,“Add beats” aren’t working.,Problem Discovery,Negtive
6,236,CapCut - Video Editor,2021-10-02 00:39:13,1,“CapCut needs access to the album for editing and editing videos” literally all it says when I wanna make a video how do I fix it :p it’s really annoying,Feature Request,Negtive
7,259,CapCut - Video Editor,2021-08-20 19:16:16,4,"“Insufficient storage clean up some photos & try again “ I only have 200 photos please try fixing that if not idk it’s probably my phone such a great app to edit, & find audios thank you very much if you fix it or not !",Problem Discovery,Negtive
8,318,CapCut - Video Editor,2021-11-01 20:51:36,5,"(I’m using iPad Pro if it matters)Ok so I’m not gonna into details about how amazing this app is, but it truly is but every day I use this app and when I go in the app, there is this bug makes it flip horizontal (I mostly have it vertically) and sometimes I have screen lock on but it does that even without screen lock but the way I fix this going out of the app and going back in. It’s just kinda annoying just to get back out and in.",Information Giving,Positive
9,515,CapCut - Video Editor,2021-08-10 23:14:07,5,"•No in-app purchases
•No watermark
•Extract audio feature
•Canvas blur option
•No annoying ads

This is perfect, when I was using Kinemaster I had like 150 subscribers

But then I changed to CapCut 5 months ago and I’m 140 subscribers away from 1k subscribers, I just don’t know how to thank this app and the developers",Information Giving,Positive
10,518,CapCut - Video Editor,2021-04-02 15:32:01,4,"° Capcut is amazing is so many ways, it’s very accessible but in ways a bit laggy; today I was logging into to capcut for an edit, I went to effects and when I had choosed and set the duration for how long I wanted to for, I tried exiting the effects but it would deny that..I could of overcome my phone freezing but highly likely not because it was same with my brother, he had not be able to leave the filters meaning he had to refresh his phone, loosing his project...but overall Capcut is definitely recommended to those who are looking for editing apps! Another improvement is that people under 12 can use it, does no harm, in my opinion! Thank you for your time! <3 °",Information Giving,Negtive
11,558,CapCut - Video Editor,2021-05-29 18:04:26,5,✝️🔯⛎♌️♑️☪️🕎♈️♍️♒️♓️♎️♉️☯️🕉♊️♏️🆔♐️♋️🛐✡️ search zodiac signs if you can it will be nice with zodiac signs!,Feature Request,Positive
12,560,CapCut - Video Editor,2021-08-28 10:24:37,5,✨Best editing app in the world✨💅,Feature Request,Positive
13,4017,CapCut - Video Editor,2021-02-07 19:56:19,5,Adddd Graphs please it will make the app 10x better please add Graphs like alight motion please,Feature Request,Positive
14,4102,CapCut - Video Editor,2021-09-27 15:39:54,5,ADDING GRAPHS AND ACTUAL KEY FRAMES WOULD BE GREAT 😭 Also smoother slow mos,Feature Request,Negtive
15,4109,CapCut - Video Editor,2021-11-21 01:03:24,4,adding smooth slowmo & tracking blur might rly do the trick <3,Feature Request,Positive
16,4399,CapCut - Video Editor,2022-01-17 20:47:27,2,After a while it starts to glitch and lag out to where you can’t see how the video is doing and you need to fix it.,Problem Discovery,Negtive
17,4411,CapCut - Video Editor,2021-08-14 02:43:02,5,"After all the videos I used to make compared to this apps videos. What a big difference, there’s amazing effects, frames, you can remove background add stickers and overlay. You can transition and add speed, volume, contrast. Create amazing videos! My go-to! I love it so much! Don’t chance a thing, it’s PERFECT. When you save, everything is clear, this app is very user friendly! It  doesn't have a watermark except at the end, which is totally fine! Amazing app! Get it now :)",Information Giving,Positive
18,4433,CapCut - Video Editor,2021-10-21 20:33:11,5,After being 5 minutes on this app it’s so fun and suprisingly easy to use.,Feature Request,Positive
