Unnamed: 0,Program,Genre,Number of viewers,Audience share (%),Start time,Broadcasting date
0.0,Hiraf,Capsule,163000,22.0,21:15:00,2023-03-21
1.0,Midadou chouaara,Culturel,868000,13.8,06:17:00,2023-03-20
2.0,Fada Ryadi,Sport,681000,9.7,07:10:00,2023-03-19
3.0,Journal Télévisé,Info,615000,44.9,22:30:00,2023-03-18
4.0,Agenda,Info,868000,36.8,19:39:00,2023-03-17
5.0,Sahafatou Al ousbouaa,Info,555000,36.3,03:47:00,2023-03-16
6.0,Touratak Lak,Culturel,292000,12.5,05:51:00,2023-03-16
7.0,Tarab,Music,6000,19.8,15:03:00,2023-03-15
8.0,Nabdou Al Moujtamaa,Culturel,39306,14.8,06:41:00,2023-03-14
9.0,Journal Télévisé,Info,27154,22.0,22:30:00,2023-03-13
10.0,Agenda,Info,24957,19.8,17:32:00,2023-03-13
11.0,Mina Dakira sahraouya,Culturel,23390,19.8,11:10:00,2023-03-13
12.0,Mara oa Al Hayat,Culturel,24745,19.8,16:49:00,2023-03-12
13.0,Journal Télévisé,Info,21031,24.0,22:30:00,2023-03-30
14.0,Mina Dakira sahraouya,Culturel,35308,20.0,14:44:00,2023-03-07
15.0,Amnir,documentaires,23718,21.0,12:06:00,2023-03-27
16.0,Kadaya ramadaniya,Religieux,39548,29.0,05:54:00,2023-03-02
17.0,Hiraf,Capsule,26580,19.0,09:45:00,2023-03-27
18.0,Konoz mina sahrae,Culturel,20228,26.0,18:57:00,2023-03-05
19.0,Sahil aljanoubi,Culturel,17198,38.0,11:39:00,2023-03-22
20.0,Maa Nass,Politique,38811,27.0,18:24:00,2023-03-12
21.0,Mina alassima,Politique,34827,38.0,09:24:00,2023-03-18
22.0,Aljamal bima hamal,Culturel,39171,32.0,00:50:00,2023-03-03
23.0,samar albidan,Music,24432,37.0,01:45:00,2023-03-28
24.0,Assrisser Dahbo,Series,25595,24.0,14:30:00,2023-03-17
25.0,Makam mina tarab hassani,Music,21639,24.0,02:54:00,2023-03-03
26.0,layali lafrig,Culturel,24405,35.0,13:37:00,2023-03-22
27.0,bissmilahi lahi namdeh,Culturel,19570,40.0,08:42:00,2023-03-23
28.0,alfich,Culturel,17193,21.0,15:11:00,2023-03-20
29.0,sibak kawafi,Culturel,22086,28.0,00:44:00,2023-03-10
30.0,Quiz Quran,Religieux,20988,32.0,08:33:00,2023-03-01
31.0,Maa Naha,Culturel,27797,19.0,06:21:00,2023-03-26
32.0,Hiraf,Capsule,36667,28.0,11:24:00,2023-02-10
33.0,Midadou chouaara,Culturel,23467,38.0,08:50:00,2023-02-09
34.0,Fada Ryadi,Sport,33653,20.0,00:59:00,2023-02-25
35.0,Journal Télévisé,Info,36244,40.0,22:30:00,2023-02-11
36.0,Agenda,Info,17027,24.0,04:59:00,2023-02-25
37.0,Sahafatou Al ousbouaa,Info,36675,37.0,16:46:00,2023-02-14
38.0,Touratak Lak,Culturel,17796,40.0,01:25:00,2023-02-21
39.0,Tarab,Music,40372,38.0,08:22:00,2023-02-26
40.0,Nabdou Al Moujtamaa,Culturel,21684,41.0,06:23:00,2023-02-23
41.0,Journal Télévisé,Info,32726,24.0,22:30:00,2023-02-09
42.0,Agenda,Info,25135,23.0,20:41:00,2023-02-10
43.0,Mina Dakira sahraouya,Culturel,25596,33.0,19:21:00,2023-02-05
44.0,Mara oa Al Hayat,Culturel,33169,34.0,11:51:00,2023-02-09
45.0,Journal Télévisé,Info,25632,29.0,22:30:00,2023-02-02
46.0,Mina Dakira sahraouya,Culturel,39668,37.0,04:33:00,2023-02-05
47.0,Amnir,documentaires,38260,30.0,02:28:00,2023-02-14
48.0,Kadaya ramadaniya,Religieux,32972,34.0,05:02:00,2023-02-15
49.0,Hiraf,Capsule,20396,35.0,10:24:00,2023-02-13
50.0,Konoz mina sahrae,Culturel,32838,34.0,04:24:00,2023-02-17
51.0,Sahil aljanoubi,Culturel,18088,36.0,09:21:00,2023-02-07
52.0,Maa Nass,Politique,34971,32.0,11:25:00,2023-02-20
53.0,Mina alassima,Politique,21895,41.0,16:50:00,2023-02-07
54.0,Aljamal bima hamal,Culturel,26295,19.0,07:09:00,2023-02-09
55.0,samar albidan,Music,35108,38.0,09:29:00,2023-02-14
56.0,Assrisser Dahbo,Series,37989,37.0,14:58:00,2023-02-08
57.0,Makam mina tarab hassani,Music,25153,34.0,18:06:00,2023-02-26
58.0,layali lafrig,Culturel,38779,22.0,06:55:00,2023-02-13
59.0,bissmilahi lahi namdeh,Culturel,24886,38.0,04:50:00,2023-02-02
60.0,alfich,Culturel,30020,19.0,07:23:00,2023-02-26
61.0,sibak kawafi,Culturel,35282,25.0,01:33:00,2023-02-28
62.0,Quiz Quran,Religieux,20048,20.0,00:52:00,2023-02-05
63.0,Maa Naha,Culturel,21924,23.0,15:28:00,2023-02-24
64.0,Hiraf,Capsule,23677,23.0,04:57:00,2023-02-25
65.0,Midadou chouaara,Culturel,23323,22.0,06:32:00,2023-02-27
66.0,Fada Ryadi,Sport,20726,22.0,09:18:00,2023-02-02
67.0,Journal Télévisé,Info,37457,30.0,22:30:00,2023-02-23
68.0,Agenda,Info,20492,21.0,03:40:00,2023-02-24
69.0,Sahafatou Al ousbouaa,Info,24557,26.0,12:01:00,2023-02-16
70.0,Touratak Lak,Culturel,33235,36.0,06:16:00,2023-02-05
71.0,Tarab,Music,34586,19.0,17:34:00,2023-02-02
72.0,Nabdou Al Moujtamaa,Culturel,19313,40.0,19:29:00,2023-02-02
73.0,Journal Télévisé,Info,18397,21.0,22:30:00,2023-02-21
74.0,Agenda,Info,34609,31.0,02:02:00,2023-01-23
75.0,Mina Dakira sahraouya,Culturel,23206,20.0,16:36:00,2023-01-23
76.0,Mara oa Al Hayat,Culturel,21612,32.0,18:31:00,2023-01-21
77.0,Journal Télévisé,Info,27344,38.0,22:30:00,2023-01-12
78.0,Mina Dakira sahraouya,Culturel,32363,20.0,12:45:00,2023-01-09
79.0,Amnir,documentaires,19796,26.0,12:38:00,2023-01-29
80.0,Kadaya ramadaniya,Religieux,39538,26.0,07:51:00,2023-01-25
81.0,Hiraf,Capsule,40795,33.0,12:11:00,2023-01-02
82.0,Konoz mina sahrae,Culturel,39670,23.0,00:42:00,2023-01-09
83.0,Assrisser Dahbo,Series,34118,20.0,09:09:00,2023-01-06
84.0,Maa Nass,Politique,30485,20.0,12:04:00,2023-01-10
85.0,Mina alassima,Politique,26924,19.0,05:41:00,2023-01-08
86.0,Aljamal bima hamal,Culturel,18541,26.0,19:57:00,2023-01-18
87.0,samar albidan,Music,30298,30.0,15:39:00,2023-01-07
88.0,Assrisser Dahbo,Series,38288,24.0,06:14:00,2023-01-17
89.0,Makam mina tarab hassani,Music,39054,31.0,17:10:00,2023-01-14
90.0,layali lafrig,Culturel,33964,25.0,17:09:00,2023-01-01
91.0,bissmilahi lahi namdeh,Culturel,19943,21.0,10:02:00,2023-01-27
92.0,alfich,Culturel,25467,27.0,09:26:00,2023-01-27
93.0,sibak kawafi,Culturel,22230,21.0,12:23:00,2023-01-02
94.0,Quiz Quran,Religieux,16643,32.0,15:20:00,2023-01-04
95.0,Maa Naha,Culturel,39718,40.0,12:30:00,2023-01-04
96.0,Hiraf,Capsule,26156,28.0,00:08:00,2023-01-28
97.0,Midadou chouaara,Culturel,24193,28.0,08:15:00,2023-01-04
98.0,Fada Ryadi,Sport,32115,22.0,16:52:00,2023-01-17
99.0,Journal Télévisé,Info,27241,20.0,22:30:00,2023-01-01
100.0,Agenda,Info,23858,30.0,10:44:00,2023-01-16
101.0,Sahafatou Al ousbouaa,Info,28603,32.0,06:06:00,2023-01-21
102.0,Touratak Lak,Culturel,32549,25.0,12:27:00,2023-01-10
103.0,Tarab,Music,39805,30.0,02:11:00,2023-01-18
104.0,Nabdou Al Moujtamaa,Culturel,35394,27.0,16:48:00,2023-01-18
105.0,Journal Télévisé,Info,37312,21.0,22:30:00,2023-01-18
106.0,Agenda,Info,39792,35.0,10:53:00,2023-01-21
107.0,Mina Dakira sahraouya,Culturel,17443,38.0,11:13:00,2023-01-09
108.0,Mara oa Al Hayat,Culturel,37483,29.0,19:47:00,2023-01-11
109.0,Journal Télévisé,Info,16790,39.0,22:30:00,2023-01-02
110.0,Mina Dakira sahraouya,Culturel,36962,28.0,08:47:00,2023-01-04
111.0,Amnir,documentaires,20054,21.0,00:08:00,2023-01-04
112.0,Kadaya ramadaniya,Religieux,19817,23.0,19:10:00,2023-01-21
113.0,Hiraf,Capsule,16740,30.0,17:51:00,2023-01-17
114.0,Quiz Quran,Religieux,22017,41.0,12:26:00,2023-01-04
115.0,Sahil aljanoubi,Culturel,21786,19.0,11:52:00,2023-01-22
116.0,Maa Nass,Politique,21646,19.0,03:06:00,2023-01-03
117.0,Mina alassima,Politique,26477,22.0,09:52:00,2023-01-30
118.0,Aljamal bima hamal,Culturel,37700,33.0,01:54:00,2023-01-21
119.0,samar albidan,Music,32422,30.0,10:40:00,2023-01-24
120.0,Assrisser Dahbo,Series,39219,33.0,18:10:00,2023-01-10
121.0,Makam mina tarab hassani,Music,17809,23.0,20:23:00,2023-01-27
122.0,layali lafrig,Culturel,23548,26.0,03:21:00,2023-01-17
123.0,bissmilahi lahi namdeh,Culturel,31841,38.0,12:29:00,2023-01-17
124.0,alfich,Culturel,26448,38.0,04:16:00,2023-01-28
125.0,sibak kawafi,Culturel,27248,22.0,05:41:00,2023-01-21
