updated_at;event_type;external_user_id;time;timezone;campaign_id;campaign_name;message_variation_id;canvas_id;canvas_name;canvas_variation_id;canvas_variation_name;canvas_step_id;canvas_step_name;send_id;dispatch_id;sending_ip;ip_pool;bounce_reason;esp;from_domain;is_drop;int
16/09/2022 14:34;users_messages_email_Bounce;jHR20DWKe;1663338632;Europe/Paris;9eda3b23-22e7-483e-80b6-9a2add5f8d2a;16092022_NEWS_Brunch_E_V1;c3b0573f-dbb6-4451-971f-89ec7bb724c7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6324886957ce074aa3c5cfabd728e1c2;223.165.114.82;marketing_3429;550 5.5.0 Requested action not taken: mailbox unavailable (S{hex}). [AM7EUR06FT030.eop-eur06.prod.protection.outlook.com];SparkPost;news.mon-marche.fr;NULL;1
16/09/2022 13:01;users_messages_email_Bounce;5WpBS9-i9;1663333132;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;63247304e164eae1878f96fa382f2ccc;223.165.112.128;transactional_4341;550 #5.1.0 Address rejected.;SparkPost;service.mon-marche.fr;NULL;2
16/09/2022 14:28;users_messages_email_Bounce;oVeHIDvCM;1663338279;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;63248724061c156c57b96596a4b466f7;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;3
;;;;;;;;;;;;;;;;;;;;;;4
;;;;;;;;;;;;;;;;;;;;;;5
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
16/09/2022 15:50;users_messages_email_Bounce;FLO7ZwYjC;1663343277;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;63249aa94e0cb000bbf7f7d1edab30b7;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
