pid,gender,age,condition,nat_id_1,nat_id_2,nat_id_3,nat_id_4
1,woman,26,domestic,5,5,5,5
2,man,27,domestic,5,7,6,6
3,man,28,domestic,5,4,5,4
4,man,20,foreign,7,7,7,7
5,woman,22,foreign,5,5,7,6
6,NA,26,domestic,6,6,6,6
7,woman,20,foreign,7,7,7,7
8,woman,25,foreign,2,3,2,2
9,woman,28,domestic,3,3,3,4
10,woman,23,foreign,4,5,4,4
11,woman,26,domestic,3,4,3,4
12,woman,31,foreign,7,7,7,6
13,woman,21,domestic,4,4,5,4
14,woman,22,domestic,5,6,5,6
15,man,25,domestic,6,6,5,6
16,man,20,foreign,4,6,5,6
17,woman,25,foreign,7,7,7,7
18,woman,23,foreign,6,4,5,5
19,non-binary,32,domestic,6,5,6,7
20,woman,26,foreign,4,3,3,3
21,woman,28,domestic,6,6,6,5
22,man,28,domestic,7,6,5,5
23,man,24,foreign,7,7,7,7
24,man,22,domestic,5,5,5,5
25,man,25,foreign,6,5,5,6
26,man,24,foreign,7,6,6,7
27,woman,33,foreign,2,3,2,2
28,woman,23,domestic,4,4,4,4
29,man,22,domestic,3,3,3,3
30,woman,24,domestic,4,5,4,5
31,woman,23,foreign,4,3,3,4
32,NA,23,domestic,3,4,4,4
33,man,33,foreign,4,4,4,4
34,woman,27,domestic,4,5,5,4
35,man,20,foreign,4,5,5,4
36,woman,27,domestic,6,7,7,6
37,man,28,foreign,6,5,5,5
38,man,25,foreign,6,6,6,6
39,man,28,foreign,7,6,7,7
40,man,33,domestic,3,4,4,3
41,non-binary,19,domestic,4,4,5,4
42,woman,24,foreign,4,4,3,4
43,NA,23,foreign,7,7,7,7
44,woman,30,foreign,5,5,5,6
45,woman,31,domestic,4,4,4,4
46,woman,24,domestic,5,4,4,4
47,woman,33,foreign,6,5,5,6
48,woman,26,domestic,7,7,7,6
49,man,22,foreign,6,7,7,6
50,man,22,domestic,1,2,2,2
51,man,20,foreign,5,5,5,6
52,woman,24,foreign,3,3,3,4
53,man,29,foreign,5,5,5,6
54,woman,21,foreign,4,3,5,4
55,man,30,foreign,4,5,5,4
56,woman,27,domestic,4,5,4,4
57,man,30,foreign,7,7,7,7
58,woman,22,domestic,4,4,2,3
59,woman,23,domestic,6,6,6,6
60,woman,25,domestic,5,5,5,5
61,man,20,foreign,4,4,3,4
62,woman,21,domestic,2,2,3,3
63,man,28,domestic,4,3,3,3
64,man,23,foreign,4,4,3,4
65,woman,20,domestic,6,6,6,6
66,man,30,foreign,6,5,6,6
67,woman,25,domestic,5,5,4,5
68,woman,30,foreign,3,4,4,4
69,woman,29,foreign,2,2,2,2
70,woman,25,foreign,5,5,5,6
71,man,22,domestic,3,3,3,4
72,man,29,domestic,4,4,4,4
